Year,Province,Gender,AgeBin,Population,weight,two_sigma
2018,Northern,Female,[50:55),29822,,5964
2018,Northern,Female,[55:60),23018,0.1,4604
2018,Northern,Female,[60:65),18217,0.1,3643
2018,Northern,Female,[65:70),15407,0.1,3081
2018,Northern,Female,[70:75),11282,0.1,2256
2018,Northern,Female,[75:80),8966,0.1,1793
2018,Northern,Female,[80:85),5468,0.1,1094
2018,Northern,Female,[85:90),3692,0.1,738
2018,Northern,Female,[90:100),539,0.1,108
2018,Central,Male,[0:5),539804,,107961
2018,Central,Male,[5:10),547491,,109498
2018,Central,Male,[10:15),524219,,104844
2018,Central,Male,[15:20),423078,,84616
2018,Central,Male,[20:25),348231,,69646
2018,Central,Male,[25:30),267327,,53465
2018,Central,Male,[30:35),236729,,47346
2018,Central,Male,[35:40),206019,,41204
2018,Central,Male,[40:45),162451,,32490
2018,Central,Male,[45:50),121244,,24249
2018,Central,Male,[50:55),82752,,16550
2018,Central,Male,[55:60),63483,0.1,12697
2018,Central,Male,[60:65),45611,0.1,9122
2018,Central,Male,[65:70),43269,0.1,8654
2018,Central,Male,[70:75),25854,0.1,5171
2018,Central,Male,[75:80),21201,0.1,4240
2018,Central,Male,[80:85),9166,0.1,1833
2018,Central,Male,[85:90),8116,0.1,1623
2018,Central,Male,[90:100),1719,0.1,344
2018,Central,Female,[0:5),549386,,109877
2018,Central,Female,[5:10),562669,,112534
2018,Central,Female,[10:15),543203,,108641
2018,Central,Female,[15:20),433794,,86759
2018,Central,Female,[20:25),380350,,76070
2018,Central,Female,[25:30),281250,,56250
2018,Central,Female,[30:35),256435,,51287
2018,Central,Female,[35:40),211062,,42212
2018,Central,Female,[40:45),156965,,31393
2018,Central,Female,[45:50),112939,,22588
2018,Central,Female,[50:55),84038,,16808
2018,Central,Female,[55:60),68460,0.1,13692
2018,Central,Female,[60:65),51892,0.1,10378
2018,Central,Female,[65:70),52068,0.1,10414
2018,Central,Female,[70:75),32965,0.1,6593
2018,Central,Female,[75:80),30657,0.1,6131
2018,Central,Female,[80:85),15829,0.1,3166
2018,Central,Female,[85:90),13405,0.1,2681
2018,Central,Female,[90:100),2993,0.1,599
2008,Northern,Male,[0:5),150892,,30178
2008,Northern,Male,[5:10),129318,,25864
2008,Northern,Male,[10:15),110798,,22160
2008,Northern,Male,[15:20),87052,,17410
2008,Northern,Male,[20:25),73832,,14766
2008,Northern,Male,[25:30),63281,,12656
2008,Northern,Male,[30:35),50478,,10096
2008,Northern,Male,[35:40),37855,,7571
2008,Northern,Male,[40:45),29628,,5926
2008,Northern,Male,[45:50),22506,,4501
2008,Northern,Male,[50:55),17853,,3571
2008,Northern,Male,[55:60),14520,,2904
2008,Northern,Male,[60:65),11758,,2352
2008,Northern,Male,[65:70),10140,,2028
2008,Northern,Male,[70:75),7136,,1427
2008,Northern,Male,[75:80),6250,,1250
2008,Northern,Male,[80:85),3308,,662
2008,Northern,Male,[85:90),1936,,387
2008,Northern,Male,[90:100),336,,67
2008,Northern,Female,[0:5),153111,,30622
2008,Northern,Female,[5:10),131298,,26260
2008,Northern,Female,[10:15),113048,,22610
2008,Northern,Female,[15:20),90621,,18124
2008,Northern,Female,[20:25),87252,,17450
2008,Northern,Female,[25:30),70229,,14046
2008,Northern,Female,[30:35),52504,,10501
2008,Northern,Female,[35:40),38834,,7767
2008,Northern,Female,[40:45),31940,,6388
2008,Northern,Female,[45:50),24863,,4973
2008,Northern,Female,[50:55),19860,,3972
2008,Northern,Female,[55:60),16619,,3324
2008,Northern,Female,[60:65),13782,,2756
2008,Northern,Female,[65:70),11832,,2366
2008,Northern,Female,[70:75),8744,,1749
2008,Northern,Female,[75:80),7456,,1491
2008,Northern,Female,[80:85),3797,,759
2008,Northern,Female,[85:90),2230,,446
2008,Northern,Female,[90:100),512,,102
2008,Central,Male,[0:5),495131,,99026
2008,Central,Male,[5:10),407639,,81528
2008,Central,Male,[10:15),349126,,69825
2008,Central,Male,[15:20),265902,,53180
2008,Central,Male,[20:25),242310,,48462
2008,Central,Male,[25:30),230112,,46022
2008,Central,Male,[30:35),181868,,36374
2008,Central,Male,[35:40),141354,,28271
2008,Central,Male,[40:45),95323,,19065
2008,Central,Male,[45:50),73611,,14722
2008,Central,Male,[50:55),54342,,10868
2008,Central,Male,[55:60),50699,,10140
2008,Central,Male,[60:65),35486,,7097
2008,Central,Male,[65:70),30090,,6018
2008,Central,Male,[70:75),18202,,3640
2008,Central,Male,[75:80),18391,,3678
2008,Central,Male,[80:85),8077,,1615
2008,Central,Male,[85:90),6024,,1205
2008,Central,Male,[90:100),2078,,416
2008,Central,Female,[0:5),504648,,100930
2008,Central,Female,[5:10),416641,,83328
2008,Central,Female,[10:15),355177,,71035
2008,Central,Female,[15:20),273106,,54621
2008,Central,Female,[20:25),287296,,57459
2008,Central,Female,[25:30),236339,,47268
2008,Central,Female,[30:35),174234,,34847
2008,Central,Female,[35:40),125888,,25178
2008,Central,Female,[40:45),93852,,18770
2008,Central,Female,[45:50),72666,,14533
2008,Central,Female,[50:55),58498,,11700
2008,Central,Female,[55:60),53368,,10674
2008,Central,Female,[60:65),39400,,7880
2008,Central,Female,[65:70),33880,,6776
2008,Central,Female,[70:75),24488,,4898
2008,Central,Female,[75:80),23683,,4737
2008,Central,Female,[80:85),12838,,2568
2008,Central,Female,[85:90),8663,,1733
2008,Central,Female,[90:100),3659,,732
2008,Southern,Male,[0:5),523924,,104785
2008,Southern,Male,[5:10),435350,,87070
2008,Southern,Male,[10:15),366152,,73230
2008,Southern,Male,[15:20),272710,,54542
2008,Southern,Male,[20:25),238657,,47731
2008,Southern,Male,[25:30),236710,,47342
2008,Southern,Male,[30:35),185253,,37051
2008,Southern,Male,[35:40),144434,,28887
2008,Southern,Male,[40:45),93595,,18719
2008,Southern,Male,[45:50),71168,,14234
2008,Southern,Male,[50:55),54583,,10917
2008,Southern,Male,[55:60),57397,,11479
2008,Southern,Male,[60:65),39764,,7953
2008,Southern,Male,[65:70),31808,,6362
2008,Southern,Male,[70:75),21143,,4229
2008,Southern,Male,[75:80),21362,,4272
2008,Southern,Male,[80:85),10560,,2112
2008,Southern,Male,[85:90),8720,,1744
2008,Southern,Male,[90:100),4034,,807
2008,Southern,Female,[0:5),542305,,108461
2008,Southern,Female,[5:10),448053,,89611
2008,Southern,Female,[10:15),376090,,75218
2008,Southern,Female,[15:20),287301,,57460
2008,Southern,Female,[20:25),310982,,62196
2008,Southern,Female,[25:30),266305,,53261
2008,Southern,Female,[30:35),183210,,36642
2008,Southern,Female,[35:40),134965,,26993
