ART Link Max,ART Link Mid,Base Infectivity,Central: Infmrl Condoms Late,Central: LOW Risk,Central: Trns Condoms Late,Circumcision Reduced Acquire,Demographic Coverage,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Dur Het,Male To Female Old,Male To Female Young,Max Infmrl F LOW,Max Infmrl F MED,Max Infmrl M LOW,Max Infmrl M MED,Max Mrtl F ME,Max Mrtl M ME,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Late,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Northern: Infmrl Condoms Late,Northern: LOW Risk,Northern: Trns Condoms Late,Pr Ex Infmrl Fem LOW,Pr Ex Infmrl Fem MED,Pr Ex Infmrl Male LOW,Pr Ex Infmrl Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,PreART Link Max,PreART Link Mid,PreART Link Min,Risk Assortivity,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Southern: Infmrl Condoms Late,Southern: LOW Risk,Southern: Trns Condoms Late,Trns Condom Max,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,iteration_number,likelihood,parameterization_id,run_number,sim_id
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.31252913933483,0,3544,Simulation_OFM0G9AN
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.31252913933483,1,6738,Simulation_J63L6VKO
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.31252913933483,2,6427,Simulation_1T9T1IWC
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.27751248501566,3,26350,Simulation_KG36GL57
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.27751248501566,4,2076,Simulation_DQS23PFP
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.27751248501566,5,59625,Simulation_M7YCHF76
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.2557197346319,6,40981,Simulation_3N5I19SU
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.2557197346319,7,25637,Simulation_7K1R1O3W
1.0,2012.0,0.0010436467996203954,0.5272642039130379,0.3503332567140029,0.610068736223989,0.6,0.010903089651515822,0.33089536089708693,0.0003899176552815227,1998.268872020929,1.8093010206612592,0.9405969618947827,2.406553816387391,4.570336763634992,0.8056008478471208,1.4024777483372577,0.6,1.6494118698514932,0.9824002498951131,0.9,1.6964582666192123,2.9334572766822387,1.8230896410996171,3.236550803175584,0.15979404419655185,1997.1510482334477,2.446580306233945,0.00011370625446244836,0.5581192405573748,0.39265917052274574,0.7994839611572269,0.012667111105772557,0.564329556162416,0.16797960550756194,0.25920772113724977,0.0957736557051234,0.6026905726419269,0.38582665105536906,0.5093718468709819,0.7070835339502146,2001.758023613455,0.44719387250385684,0.6022191211721528,1980.8519722920198,0.08644264045818403,16.749322415305524,0.05764095589333953,16.69318486971705,0.4859828539232815,0.2521389473419515,0.8,0.3693536906418791,2004.05324515733,2.6074870976991105,0.00016250196144603242,9,98.2557197346319,8,62184,Simulation_IVBUPW2F
0.9417579829559598,2008.7977511971328,0.0015338066021141272,0.5000462619974458,0.41910968500151835,0.616232977081805,0.6,0.03358627545459207,0.3327677969709129,0.00016709382467073103,1994.6621621843958,1.6438960300586563,0.9818938137958823,2.87337139918517,4.2413150535834365,0.8163402906761676,1.1491733933629775,0.6,1.760889598403144,0.9440416881891674,1.0652994971560594,1.8668732665060679,3.5,1.8334414874886218,3.414017630796154,0.1372033964146611,1994.9457630072898,1.7800659897033964,0.00012139633984026268,0.5788277496078104,0.3426026006844437,0.755102798743084,0.05615447088175591,0.6403943771617499,0.21725122555157922,0.039050294884959924,0.11376558086832723,0.38586382508368994,0.3487392899541582,0.5881635679058642,0.5988256574449937,2001.5783340878324,0.2875767295009468,0.6147437778557243,1981.968049335742,0.15310442636677088,17.09939824772908,0.053067762125001534,16.20604976600491,0.44599822517769433,0.20064368199080107,0.7965125636549676,0.31274278097318275,2008.929228890542,2.2842879617968395,0.000137,16,98.12245193970205,9,20144,Simulation_CJRF737A
