"Year","mean.pop.males","mean.pop.females","mean.pop.overall","mean.prev.males","mean.prev.females","mean.prev.overall","mean.new.infections","mean.new.infections.females","mean.new.infections.overall","mean.plhiv.diagnosed.males","mean.plhiv.diagnosed.females","mean.plhiv.diagnosed.overall","mean.plhiv.onart.males","mean.plhiv.onart.females","mean.plhiv.onart.overall"
2000.5,2677062.899823746,2729128.388560138,5406191.288383884,0.10063643108797699,0.12296930813426896,0.11180286961112297,31918.858737682887,38790.45266271969,35354.65570020129,0.015440707986381254,0.014805357274277725,0.014805357274277725,0,0.014805357274277725,0.014805357274277725
2001.5,2751926.398912984,2803789.2902801754,5555715.689193159,0.10124654956600843,0.12473799032150427,0.11299226994375636,30370.140696302184,36354.96682234955,33362.55375932586,0.016027931820101378,0.08590780104786389,0.08590780104786389,0,0.08590780104786389,0.08590780104786389
2002.5,2828456.7265423546,2880634.1564508253,5709090.88299318,0.10152482494655167,0.12594460096335558,0.11373471295495363,30744.59245024785,37425.798431367424,34085.195440807634,0.017465053390008253,0.22657592166144988,0.22657592166144988,0,0.22657592166144988,0.22657592166144988
2003.5,2908067.684930202,2960419.6721746842,5868487.357104886,0.10103773455309883,0.1270025202531497,0.11402012740312427,31385.891468713227,38238.16861187154,34812.03004029238,0.017763081340773562,0.33760419235714,0.33760419235714,0,0.33760419235714,0.33760419235714
2004.5,2991526.6698165443,3044120.418129576,6035647.087946121,0.1001822997984528,0.12689705592338335,0.11353967786091808,29785.508859340334,37214.884246045025,33500.19655269268,0.04173496831999509,0.4333971812512455,0.4333971812512455,0.058036524317820075,0.4333971812512455,0.4333971812512455
2005.5,3081123.131100548,3132129.3320604754,6213252.463161023,0.09869692395678277,0.12658998174083796,0.11264345284881037,29379.64725761525,37039.75278658766,33209.70002210145,0.0878233697175029,0.5155217406219191,0.5155217406219191,0.04061557661367,0.5155217406219191,0.5155217406219191
2006.5,3160818.8454017737,3212950.1627251226,6373769.008126897,0.09725738605425013,0.12631057263147397,0.11178397934286205,30261.16962293358,36657.66786738114,33459.41874515736,0.13965085402482935,0.5794288767969272,0.5794288767969272,0.1650705088094851,0.5794288767969272,0.5794288767969272
2007.5,3245116.7884698375,3295843.6492994307,6540960.437769269,0.09566946271008729,0.12547965221420315,0.11057455746214521,28907.64396027627,36166.617405418365,32537.13068284732,0.20803181777268098,0.6369765491087419,0.6369765491087419,0.3263909221710259,0.6369765491087419,0.6369765491087419
2008.5,3334252.3862093394,3384639.0128745367,6718891.399083876,0.0942052087249971,0.12440443768076782,0.10930482320288247,28968.34322293285,35487.06016863926,32227.701695786054,0.2870476306376164,0.6854274295605147,0.6854274295605147,0.4318249281281103,0.6854274295605147,0.6854274295605147
2009.5,3430961.031038615,3481105.474463316,6912066.505501931,0.09216306827116047,0.12298185087261983,0.10757245957189014,27285.781075863833,33476.03367299354,30380.907374428683,0.3680356553981076,0.7294313725351506,0.7294313725351506,0.5317657544553911,0.7294313725351506,0.7294313725351506
2010.5,3537464.4179957714,3584699.5953592737,7122164.013355046,0.09020292323405439,0.12139911469101254,0.10580101896253347,24696.840082211755,31514.837576852915,28105.838829532335,0.44674267470955054,0.7652147812083336,0.7652147812083336,0.6156380836402631,0.7652147812083336,0.7652147812083336
2011.5,3646391.056637034,3693425.0633184486,7339816.119955483,0.08799650903761119,0.11996945421079241,0.1039829816242018,22004.521176272527,29154.638954364098,25579.580065318314,0.5224417852166239,0.7956445811395105,0.7956445811395105,0.6834302424830616,0.7956445811395105,0.7956445811395105
2012.5,3764112.939754303,3810728.270952661,7574841.210706964,0.08600625613923717,0.11900245705756124,0.1025043565983992,20769.70494975555,27941.186459216788,24355.445704486167,0.5908350477679781,0.8223728677391544,0.8223728677391544,0.7517257373477935,0.8223728677391544,0.8223728677391544
