"Year","mean.pop.males","mean.pop.females","mean.pop.overall","mean.prev.males","mean.prev.females","mean.prev.overall","mean.new.infections","mean.new.infections.females","mean.new.infections.overall","mean.plhiv.diagnosed.males","mean.plhiv.diagnosed.females","mean.plhiv.diagnosed.overall","mean.plhiv.onart.males","mean.plhiv.onart.females","mean.plhiv.onart.overall"
2000.5,2685427.7663926943,2728136.5136161093,5413564.280008804,0.1053974293883185,0.1290928785598269,0.1172451539740727,33831.07460245356,40562.74750741485,37196.91105493421,0.016430881612497346,0.015041461360061388,0.015041461360061388,0,0.015041461360061388,0.015041461360061388
2001.5,2757703.787224276,2801905.126890334,5559608.914114609,0.10611595419674527,0.1310663124509814,0.11859113332386334,31519.247270443888,38216.035096360014,34867.64118340195,0.015981757602155637,0.08496384733414437,0.08496384733414437,0,0.08496384733414437,0.08496384733414437
2002.5,2834272.8053200673,2876790.4627473513,5711063.268067419,0.10617138713580222,0.1324002876386248,0.11928583738721352,32001.37733891259,39107.41215301525,35554.39474596392,0.017658532608759183,0.22389701468465564,0.22389701468465564,0,0.22389701468465564,0.22389701468465564
2003.5,2913425.8606907786,2954182.4567025607,5867608.317393339,0.10605143907937417,0.1334501590117938,0.11975079904558399,32529.54236697458,39707.70727092399,36118.62481894928,0.017701491104195728,0.3372399519531928,0.3372399519531928,0,0.3372399519531928,0.3372399519531928
2004.5,2996605.121005584,3034510.8397081546,6031115.960713739,0.10519150046980248,0.13340322185226833,0.11929736116103541,31750.063893509723,39670.36459479276,35710.21424415124,0.04229687358456519,0.4352603254663869,0.4352603254663869,0.05714464836232164,0.4352603254663869,0.4352603254663869
2005.5,3084961.6383701693,3122012.1247168668,6206973.763087036,0.1038316874505364,0.13313037272493086,0.11848103008773363,31282.40484869832,39214.94636763417,35248.675608166246,0.08702457046164586,0.5156904818566147,0.5156904818566147,0.04474383014154918,0.5156904818566147,0.5156904818566147
2006.5,3164667.113229969,3201629.1800266355,6366296.293256604,0.10244710436704724,0.13290271050051305,0.11767490743378015,30655.210590308856,38655.46660769833,34655.33859900359,0.1392310955473064,0.5788916511148554,0.5788916511148554,0.17737086323941728,0.5788916511148554,0.5788916511148554
2007.5,3247725.4132176647,3284507.661235562,6532233.074453226,0.1006549088070002,0.1319459671706464,0.11630043798882331,30244.97570047034,37084.418472526624,33664.697086498476,0.20746385707811518,0.638738132531052,0.638738132531052,0.33920519092405493,0.638738132531052,0.638738132531052
2008.5,3336010.580315641,3372859.233331099,6708869.81364674,0.09881894697169144,0.13073440543151033,0.11477667620160088,28932.223514557492,36571.87147181494,32752.04749318622,0.28588017000816657,0.688012008786916,0.688012008786916,0.44551221255883366,0.688012008786916,0.688012008786916
2009.5,3432346.7904595505,3468982.740969425,6901329.531428976,0.09663317067081365,0.12929783249557897,0.11296550158319629,26418.18334693357,33761.64196058024,30089.912653756903,0.36939496878355926,0.7318092160793863,0.7318092160793863,0.5500117477784979,0.7318092160793863,0.7318092160793863
